Institution,Scholarship Name,Deadline,Award Amount,Description,Requirements,Scholarship Link
Kansas State University,General Music Scholarship,N/A,N/A,General music scholarship for majors minors and non-majors.,Majors minors non-majors. Need to fill out another form and audition. Awarded in addition to existing academic scholarships.,N/A
Kansas State University,Ensemble Scholarships,N/A,N/A,Ensemble scholarships awarded based on needs of ensembles.,Awarded based on needs of ensembles. Need to fill out another form and audition. Awarded in addition to existing academic scholarships.,N/A
Kansas Wesleyan University,Bill McMosley Music Scholarship Competition,N/A,N/A,Biannual music competition for vocal and instrumental students. Multiple scholarships presented.,3 divisions: voice winds/percussion strings. Biannual event at Kansas Wesleyan University.,N/A
Longy School of Music,Teaching Assistantships,N/A,$10000/year,Teaching assistant positions at Longy School of Music.,All merit-based. No additional application.,N/A
Longy School of Music,Scholarships,N/A,N/A,Merit-based scholarships at Longy School of Music.,All merit-based. No additional application. No dollar amounts given.,N/A
NEC,Presidential Distinction Scholarship,N/A,N/A,Merit and need-based scholarship for full-time NEC students.,Full-time students. Merit determined through audition. Financial need based on FAFSA and/or additional financial information. Complete Financial Aid application as part of admission application.,N/A
NEC,Dean's Scholarship,N/A,N/A,Merit and need-based scholarship for full-time NEC students.,Full-time students. Merit determined through audition. Financial need based on FAFSA and/or additional financial information. Complete Financial Aid application as part of admission application.,N/A
NEC,From the Top Scholarships,N/A,$7500 per academic year (minimum),Funding for students who have performed on From the Top program and have been admitted to NEC.,Students who have performed on From the Top program and have been admitted to NEC. Guaranteed at least $7500 per academic year.,https://fromthetop.org/apply/
NEC,Dorothy Hinton Congleton Memorial Presidential Scholarship,N/A,N/A,NEC Presidential Scholarship.,N/A,N/A
NEC,Edward Hyde Cox Presidential Scholarship,N/A,N/A,NEC Presidential Scholarship for classical music students.,Classical music students.,N/A
NEC,Francis W. Hatch Presidential Scholarship,N/A,Full tuition,NEC Presidential Scholarship providing full tuition support.,N/A,N/A
NEC,Helena Foundation Presidential Scholarship,N/A,N/A,NEC Presidential Scholarship for jazz students.,Jazz students.,N/A
NEC,Carol T. and Robert P. Henderson Presidential Scholarship,N/A,N/A,NEC Presidential Scholarship.,N/A,N/A
NEC,Emma V. Lambrose Presidential Scholarship,N/A,N/A,NEC Presidential Scholarship.,N/A,N/A
NEC,Laurence Lesser Presidential Scholarship,N/A,N/A,NEC Presidential Scholarship.,N/A,N/A
NEC,John Moriarty Presidential Scholarship,N/A,N/A,NEC Presidential Scholarship for singers.,Singers.,N/A
NEC,Charlotte F. Rabb Presidential Scholarship,N/A,N/A,NEC Presidential Scholarship.,N/A,N/A
NEC,Edward P. and Margaret Richardson Presidential Scholarship,N/A,N/A,NEC Presidential Scholarship.,N/A,N/A
NEC,Wendy Shattuck '75 Presidential Scholarship in Vocal Studies,N/A,N/A,NEC Presidential Scholarship for singers.,Singers.,N/A
NEC,Abraham Skernick Memorial Presidential Scholarship,N/A,N/A,NEC Presidential Scholarship for viola students.,Viola students.,N/A
NEC,Helen Haxton Stare Presidential Scholarship in Voice,N/A,N/A,NEC Presidential Scholarship for singers.,Singers.,N/A
NEC,Irene M. Stare Presidential Scholarship in Violin,N/A,N/A,NEC Presidential Scholarship for violin students.,Violin students.,N/A
NEC,Joan and Henry Wheeler Presidential Scholarship,N/A,N/A,NEC Presidential Scholarship for opera program students.,Opera program students.,N/A
NEC,Donna Hieken Presidential Scholarship in Flute,N/A,N/A,NEC Presidential Scholarship for flute performance students.,Flute performance students.,N/A
NEC,Masuko Ushioda Dean's Scholarship,N/A,N/A,NEC Dean's Scholarship for string students.,String students.,N/A
Northeastern University,Thomas F Symmons Music Scholarship,N/A,N/A,Northeastern University scholarship for students of outstanding merit pursuing a major in Music Industry.,Full-time undergraduate students at Northeastern. Outstanding merit pursuing major in Music Industry. Demonstrate commitment to community by sharing talent and creativity through music.,N/A
Northeastern University,Joshua Jacobson Choral Music Scholarship,N/A,N/A,Provides scholarships for students to improve choral skills hire guest performers and provide workshops.,Northeastern University. Choral director and student e-board discuss and vote on how and when funds are expended.,N/A
Northeastern University,Ensemble Scholarships,N/A,$2500-$5000 per year,Scholarships for instrumental orchestral and choral musicians in support of large ensembles.,Full-time first-year and NUin students who display strong musical talent for participation in Wind Ensemble Choral Society University Orchestra and Pep Band. Do not need to be music major.,N/A
Pacific Lutheran University,Music Artistic Achievement Award,N/A,Up to $7500 per year,Offered regardless of major to support music participation.,Offered regardless of major. Limited endowments renewable amount ranging up to $7500 per year. Requires private lessons and ensemble. Audition required. Separate application at Pacific Lutheran University.,N/A
Pittsburg State University,Music Scholarships,N/A,N/A,Performance-based scholarships for all wind brass percussion woodwind string keyboard instruments and voice.,Qualified students may audition. Amounts determined by faculty. Separate application required.,N/A
Pittsburg State University,Band Participation Awards,N/A,"$400 for winds, $500 for drumline/colorguard, $250 for pep band",Additional assistance for participation in marching band and pep band regardless of major.,Regardless of major. $400 for winds $500 for drumline/colorguard $250 for pep band.,N/A
Rowan University,Music Scholarships,N/A,N/A,No information about music scholarships available.,N/A,N/A
Royal Irish Academy,1848 Admin Assistance Scholarship,N/A,€1000 or €2000/year,Administrative assistance scholarship paid separately from tuition for stewarding music admin library admissions work outreach etc.,Requires separate scholarship application. Awarded based on ranking of applications at audition. Role determines amount (€1000 or €2000/year). Paid separately from tuition.,N/A
Royal Irish Academy,1848 Teaching Assistant/Accompanist Scholarship,N/A,"€1650, €2500, or €5000/year",Teaching assistant/accompanist scholarship based on hours worked.,Requires separate scholarship application. Awarded based on ranking of applications at audition. Requires interview post-audition. Amount based on hours (€1650 2500 or €5000/year).,N/A
Royal Irish Academy,Distinguished Student Scholarship,N/A,€1000 per year,Tuition fee scholarship based on audition ranking.,Distinguished student under audition.,N/A
Royal Irish Academy,Distinguished Student Scholarship,N/A,€2000 per year,Tuition fee scholarship based on audition ranking.,Distinguished student under audition.,N/A
Royal Irish Academy,Distinguished Student Scholarship,N/A,€4000 per year,Tuition fee scholarship based on audition ranking.,Distinguished student under audition.,N/A
Royal Irish Academy,International First-Time Entrance Scholarship,N/A,€1000 (Year 1 only),International first-time entrance scholarship.,International first-time students. Year 1 only.,N/A
Royal Irish Academy,International First-Time Entrance Scholarship,N/A,€2000 (Year 1 only),International first-time entrance scholarship.,International first-time students. Year 1 only.,N/A
Royal Irish Academy,International First-Time Entrance Scholarship,N/A,€3000 (Year 1 only),International first-time entrance scholarship.,International first-time students. Year 1 only.,N/A
Royal Irish Academy,John Pollard Bursary,N/A,€24000 over 2 years,Supports two winners to complete the 2-year Master in Music Performance. One vocal studies and one instrumental.,Two winners: one vocal studies and one instrumental. Supports 2-year Master in Music Performance. Vocal award has focus on tenor/countertenors.,N/A
Sacramento City College,Music Scholarships,N/A,$500-$1500,Various music scholarships available through filtered database search.,Varies by specific scholarship. See database for discipline/requirements.,https://losrios.academicworks.com/opportunities?utf8=%E2%9C%93&term=music
San Francisco Conservatory,Scholarships,N/A,$20000 to full tuition,Scholarships based on application materials audition and financial information.,Must complete application audition and FAFSA (USA citizens and permanent residents) or CSS Profile (international students). Recently given gift of 120 more scholarships.,N/A
Shenandoah University,Conservatory Scholarship,N/A,$2000-$20000 per year,Scholarship for students pursuing degree within Shenandoah Conservatory.,Students pursuing degree within Shenandoah Conservatory. Awarded based on application for admission audition and needs of conservatory. Renewable annually for total of four years. Maintain full-time enrollment as undergraduate. Maintain GPA of at least 3.0. Meet requirements as set by Conservatory. Awarded in place of Academic Scholarship.,N/A
Stonehill College,Music Scholarships,N/A,N/A,No information provided for music scholarships.,N/A,N/A
Suffolk County Community College,Rienecker Scholarship,N/A,$300,Suffolk County Community College scholarship.,N/A,N/A
Suffolk County Community College,Kelly Recital Scholarship,N/A,$450,Suffolk County Community College scholarship.,N/A,N/A
Suffolk County Community College,Goldberg Memorial Scholarship,N/A,$200,Suffolk County Community College scholarship.,N/A,N/A
Suffolk County Community College,Sodders Scholarship,N/A,$1000,Suffolk County Community College scholarship.,N/A,N/A
Suffolk County Community College,Satzman Scholarship,N/A,$300,Suffolk County Community College scholarship for voice students.,Voice students.,N/A
SUNY Purchase,Talent Scholarships,N/A,$200 to full tuition,Talent-based scholarships. 30% of students receive.,Talent-based. 30% of students receive. $200 to full tuition.,N/A
Syracuse University,Setnor Awards,N/A,Full tuition,Talent-based scholarship for entering students at Syracuse University.,Entering students. Based on talent. Offered annually.,N/A
Syracuse University,Orchestral String Awards,N/A,$20000,Talent-based scholarship for entering students at Syracuse University.,Entering students. Based on talent. Offered annually.,N/A
Syracuse University,Director's Awards,N/A,$20000,Talent-based scholarship for entering students at Syracuse University.,Entering students. Based on talent. Offered annually.,N/A
Syracuse University,Distinguished Music Performance Award,N/A,$10000,Talent-based scholarship for entering students at Syracuse University.,Entering students. Based on talent. Offered annually.,N/A
Taylor University,Major Scholarship Awards,N/A,Varies,Presented to outstanding high school seniors and transfer students committed to career in music theatre or dance.,Must declare major in department. Complete scholarship application. Audition in person or video. Demonstrate outstanding proficiency and artistry. Amounts vary depending on musical ability and department needs. Renewable each year as departmental major but must reapply.,N/A
Taylor University,Minor Scholarship Awards,N/A,Varies,Presented to outstanding high school seniors and transfer students planning to minor in music theatre or dance.,Must declare minor within department. Complete scholarship application. Audition in person or video. Demonstrate outstanding proficiency and musicianship. Renewable each year with minor in department but must reapply.,N/A
Taylor University,Endowed Scholarship Awards,N/A,Varies,Presented annually to Taylor upperclassmen who are majors.,Taylor upperclassmen who are majors. Meet endowed award specific criteria. Amounts vary.,N/A
Taylor University,Departmental Participation Awards,N/A,Varies,Presented to limited number of students interested in instrumental ensemble.,Demonstrated outstanding skills. Renewable but must reapply each year. Complete application. Audition in person or video. Follow audition guidelines and demonstrate outstanding proficiency and artistry. Amounts may vary.,N/A
Taylor University,Bachelor of Fine Arts in Musical Theatre Scholarship,N/A,N/A,Scholarship for Bachelor of Fine Arts in Musical Theatre program.,Audition consists of three parts: acting singing and dancing. See complete audition guidelines.,https://www.taylor.edu/_docs/academics/programs/music-theatre-dance/musical-theatre-audition-guidelines.pdf
Temple College,Music Performance Scholarships,N/A,Varies,Performance-based scholarships to any student based upon audition.,Any student based upon audition. Award amounts vary based on playing ability major and number of ensembles for which student enrolls.,N/A
Temple University,Diamond Bands Scholarships,N/A,$500-$2000,Scholarships for students of any major or school who join a band.,Any major or school. Can join a band and be considered for scholarships.,N/A
Temple University,Music Assistantships,N/A,Full or partial tuition remission,Music assistantships for full-time graduate students.,Full-time graduate students. Full or partial tuition remission.,N/A
Temple University,Performance Grants,N/A,$600-$1000 per semester,Performance grants for graduate students.,$600-$1000 per semester.,N/A
Ulster County Community College,Lohre Memorial Scholarship,N/A,$1000,Ulster County Community College scholarship for music majors.,Music major.,N/A
Ulster County Community College,O'Brien Scholarship,N/A,$500,Ulster County Community College scholarship for music theater or fine arts students.,Music theater or fine arts students.,N/A
Ulster County Community College,Zimmerman Scholarship,N/A,$1000,Ulster County Community College scholarship.,N/A,N/A
Ulster County Community College,Herrington Scholarship,N/A,$500,Ulster County Community College scholarship for wind band participants enrolled in AAS Music.,Wind band participant. Enrolled in AAS Music.,N/A
Ulster County Community College,Aaron Memorial Scholarship,N/A,$1000,Ulster County Community College scholarship.,N/A,N/A
UMass Amherst,HFA Scholarships,N/A,$300-$4000,Music and dance scholarships made possible by alumni and friends support and Dean's Office.,Audition as music major. All based on merit. Typically in range of $300 to $4000.,N/A
UMass Amherst,UMass Band Alumni Scholarship,N/A,N/A,Scholarships for members of the Minuteman Marching Band.,Members of Minuteman Marching Band at discretion of Band Alumni Scholarship Committee.,N/A
UMass Amherst,Ann Elder Bestor Memorial Music Scholarship,N/A,N/A,Scholarships for entering students majoring in Music with preference for first-year students.,Entering students majoring in Music. Preference given to first-year students.,N/A
UMass Amherst,Philip Bezanson Scholarship,N/A,N/A,Support for students' outstanding accomplishments in vocal or composition performance.,Outstanding accomplishments in area of vocal or composition performance in Department of Music and Dance.,N/A
UMass Amherst,David W. Briggs Scholarship in Memory of Jean S. Briggs,N/A,N/A,Supports students with demonstrated financial need and community service record.,Music major. Cumulative GPA of no less than 3.5. Demonstrated financial need. Preference given to students with demonstrated and continuous record of community service to their home community Amherst and its environs and/or University community.,N/A
UMass Amherst,Susan Cunningham Campbell Scholarship,N/A,N/A,Support for undergraduate or graduate students in music program.,Undergraduate or graduate students in music program in Department of Music and Dance.,N/A
UMass Amherst,Walter Chesnut Music Scholarship,N/A,N/A,Scholarship for music major whose primary applied area is trumpet.,Music major whose primary applied area is trumpet. Demonstrated highest standards of musical excellence.,N/A
UMass Amherst,Russell E. & Janet R. Falvey Scholarship,N/A,N/A,Support for public high school student in four counties of Western Massachusetts intending to pursue degree in Music Education.,Public high school student in four counties of Western Massachusetts who intends to pursue degree in Music Education.,N/A
UMass Amherst,Friends of Music Senior Award,N/A,N/A,Award given to music majors who are graduating seniors.,Music majors who are graduating seniors and have distinguished themselves in Department of Music and Dance.,N/A
UMass Amherst,Thom Hannum Marching Band Percussion Scholarship,N/A,N/A,Support for undergraduate percussionists in Minuteman Marching Band.,Undergraduate percussionists in Minuteman Marching Band. Good academic standing. Demonstrated exceptional ability leadership and service.,N/A
UMass Amherst,Richard Jones Scholarship,N/A,N/A,Support for highly qualified undergraduate students majoring in dance.,Highly qualified undergraduate students majoring in dance.,N/A
UMass Amherst,Klock Saxophone and the Campbell Klock Horn Studio Awards,N/A,N/A,Support for undergraduate or graduate students in saxophone and horn studios.,Undergraduate or graduate students in saxophone and horn studios in Department of Music and Dance.,N/A
UMass Amherst,Howard M. Lebow Memorial Scholarship,N/A,N/A,Support for graduate or undergraduate students in Department of Music.,Graduate or undergraduate students in Department of Music.,N/A
UMass Amherst,Eugenie M. May Award for Piano Performance,N/A,N/A,Annual award for student with extraordinary musical talent in piano performance.,Outstanding accomplishments as solo and/or collaborative pianists and exceptional contributions to musical life of department.,N/A
UMass Amherst,Jeffrey Morgan Memorial Scholarship,N/A,N/A,Support for incoming first-year music major specializing as wind instrumentalist.,Incoming first-year music major who is going to specialize as wind instrumentalist.,N/A
UMass Amherst,Julian Olevsky Memorial Scholarship in Violin,N/A,N/A,Support for outstanding graduate or undergraduate artist-violinist.,Outstanding graduate or undergraduate artist-violinist.,N/A
UMass Amherst,Ornest Award,N/A,N/A,Supports music majors whose major performing instrument is voice for two years.,Music majors whose major performing instrument is voice. Demonstrate active commitment to making music in as many ways as possible. Supports students for two years to establish academic and music credentials.,N/A
UMass Amherst,Theodore Presser Award,N/A,N/A,Presser Undergraduate Scholar Award presented to outstanding student majoring in music at end of junior year.,Outstanding student majoring in music at end of junior year. Solely by consideration of merit.,N/A
UMass Amherst,Power & Class Scholarship,N/A,N/A,Support to recruit and retain Marching Band students.,Recruit and retain Marching Band students.,N/A
UMass Amherst,Nadine E. Shank Piano Scholarship,N/A,N/A,Awarded on basis of merit to incoming first-year or transfer student as recruiting incentive.,Incoming first-year or transfer student. Awarded on basis of merit as recruiting incentive.,N/A
UMass Amherst,Nadine E. Shank Double Major Scholarship,N/A,N/A,For undergraduates pursuing second major in Department of Music and Dance with primary major in non-arts field.,Undergraduates pursuing second major in Department of Music and Dance who have primary major in non-arts field. Also supports students pursuing second degree in Department of Music and Dance whose first degree is in non-arts field.,N/A
UMass Amherst,C. Lynn Vendien Minuteman Marching Band Scholarship,N/A,N/A,Scholarship to recruit and retain outstanding students for UMass Amherst Minuteman Band.,Application to include musical and marching audition.,N/A
UMass Dartmouth,Bobby Greene Music Scholarship,N/A,N/A,Scholarship for full-time student in the Music program who demonstrates talent.,Full-time student in Music program at UMass Dartmouth who demonstrates talent.,N/A
UMass Lowell,Music Scholarships,N/A,N/A,Scholarships offered to about 30 students each year based on audition.,About 30 students each year. Based on audition. Determined by department chair.,N/A
Union Adventist University,Music Ambassador Scholarships,N/A,N/A,Scholarship for being ambassador for music ensembles.,Ambassador for music ensembles. Nothing else advertised.,N/A
University of Colorado Denver,Melnick Scholarship,N/A,$500-$1000,University of Colorado Denver scholarship for all arts and media students.,Resident of Colorado Montana New Mexico Utah or Wyoming. All arts and media students.,N/A
University of Colorado Denver,CAM Scholarship,N/A,$1000-$2000,University of Colorado Denver scholarship for visual arts music or film students.,Visual arts music or film students.,N/A
University of Colorado Denver,LYNX Camp Alumni Scholarship,N/A,Up to $1250,For students who attended LYNX National Arts & Media Camps as high school students.,Students who attended LYNX National Arts & Media Camps as high school students and are now incoming freshman CU Denver College of Arts & Media students.,N/A
University of Colorado Denver,Tashiro Scholarship,N/A,Up to $1000,A Cappella scholarship for students in Lark or 9th Street Singers groups.,Must be in Lark or 9th Street Singers groups.,N/A
University of Colorado Denver,Barney Scholarship,N/A,$2000,Scholarship for BS in recording arts students.,BS in recording arts at University of Colorado Denver.,N/A
University of Colorado Denver,MIX A Capella Scholarship,N/A,$1200,Vocal music scholarship for students in A Capella group.,Must be in A Capella group at University of Colorado Denver.,N/A
University of Colorado Denver,Bogard Scholarship,N/A,$1200,Scholarship for music majors enrolled in voice.,Music majors enrolled in voice at University of Colorado Denver.,N/A
University of Delaware,Music Scholarships,N/A,N/A,Talent-based scholarships for music majors.,Students who audition to be accepted as music majors are considered during auditions. Competitive. Offered by recommendation after all auditions heard. Music majors who receive talent-based scholarships may be required to participate in more than one ensemble.,https://www.music.udel.edu/
University of Delaware,Fightin' Blue Hen Marching Band Scholarship,N/A,N/A,Scholarship for students who participate in Fightin' Blue Hen Marching Band.,Students who participate in Fightin' Blue Hen Marching Band.,https://www.music.udel.edu/
University of Denver,Lamont School of Music Scholarships,N/A,$1000 to full tuition,Comprehensive scholarship taking talent academic merit and financial need into consideration.,Students applying to Lamont School of Music holistically considered. Ranges from $1000 to full tuition. Students awarded music scholarship not eligible for admission merit scholarship or institutional need-based grants. Notified within two weeks of admission decision.,N/A
University of Florida,Music Scholarships,N/A,N/A,Undergraduate music major scholarships and partial out-of-state tuition waivers awarded based on audition.,Music majors. Awarded based on talent determined at time of audition. No supplemental application required. Contact school via email for details.,N/A
University of Georgia,Marching Band Scholarships,N/A,N/A,Marching band scholarships. Audition required and automatically considered.,Audition. Automatically considered.,N/A
University of Georgia,General Music Scholarships,N/A,N/A,General music scholarships. Audition required and automatically considered.,Audition. Automatically considered.,N/A
University of Hartford,Performing Arts Scholarships,N/A,Up to full tuition,Automatically awarded based on audition or interview. No separate application necessary.,All applicants regardless of program automatically considered. Awarded by faculty based on student's audition (performance applicants) or interview (all other majors). Only full-time undergraduate students entering in fall semester considered. Awards not reviewed for increases in subsequent years. Renewable for length of program. Students adding second major or changing majors after beginning classes not eligible for scholarship beyond fourth year. Need-based grant funding available through FAFSA (filing deadline February 15).,N/A
University of Mary Hardin-Baylor,Music Scholarships,N/A,Up to full tuition,Music scholarships awarded by audition.,Incoming students can request audition. Awards up to full tuition available.,N/A
University of the Incarnate Word,Band Scholarship,N/A,Tuition discounts,Tuition discounts for participation in band ensembles.,Participation in band ensembles.,N/A
University of the Incarnate Word,Annually Renewable Music Scholarships,N/A,"Up to $4000/year for majors, $800/year for minors",Annually renewable music scholarships awarded by audition.,By audition. Requires participation in a major ensemble. Up to $4000/year for majors $800/year for minors.,N/A
University of the Incarnate Word,One-Year Music Scholarships,N/A,N/A,One-year non-renewable scholarships for current music students.,Current music students. Non-renewable.,N/A
University of the Incarnate Word,Ensemble Scholarships,N/A,N/A,Ensemble scholarships awarded at discretion of ensemble directors.,At discretion of ensemble directors.,N/A
University of the Incarnate Word,Endowed Scholarships,N/A,N/A,One-year scholarships based on academic merit.,One-year. Based on academic merit.,N/A
Westfield State University,Friends of Music Scholarship,N/A,N/A,Westfield State University music scholarship.,No info available.,N/A
Westfield State University,Dower Scholarship,N/A,N/A,Westfield State University scholarship for music majors.,Music majors.,N/A
Westfield State University,Rogers Music Merit Scholarship,N/A,N/A,4-year scholarship requiring audition and interview for music majors.,Music major. 4 years. Audition and interview required at Westfield State University.,N/A
Westfield State University,Manzer Music Scholarship,N/A,N/A,Westfield State University scholarship for music majors.,Music majors.,N/A
Westfield State University,Musical Theater Guild Scholarship,N/A,N/A,Westfield State University scholarship for students participating in musical theater.,Undergraduate who participates in musical theater.,N/A
